Date Lifted,Exercise,Weight (kg),Weight (lb),Reps,Bodyweight (kg),Bodyweight (lb),Percentile (%),Warmup
2023-01-07,Shoulder Press,52.2,115,4,78,172,39.5,0
2023-01-07,Shoulder Press,52.2,115,3,78,172,36.4,0
2023-01-06,Sumo Deadlift,142.9,315,6,81.6,180,44.6,0
2023-01-06,Sumo Deadlift,142.9,315,5,81.6,180,40.3,0
2023-01-06,Sumo Deadlift,142.9,315,5,81.6,180,40.3,0
2023-01-06,Sumo Deadlift,142.9,315,5,81.6,180,40.3,0
2023-01-06,Sumo Deadlift,133.8,295,5,81.6,180,32.2,0
2023-01-05,Sled Leg Press,120.2,265,8,81.6,180,17.4,0
2023-01-05,Sled Leg Press,113.4,250,8,81.6,180,14.7,0
2023-01-05,Sled Leg Press,106.6,235,8,81.6,180,12.2,0
2023-01-05,Sled Leg Press,99.8,220,8,81.6,180,9.9,0
2023-01-05,Sled Leg Press,93,205,8,81.6,180,7.9,0
2023-01-05,Incline Bench Press,36.3,80,12,81.6,180,4.7,0
2023-01-05,Incline Bench Press,36.3,80,12,81.6,180,4.7,0
2023-01-05,Incline Bench Press,36.3,80,12,81.6,180,4.7,0
2023-01-05,Incline Bench Press,36.3,80,13,81.6,180,5.3,0
2023-01-05,Incline Bench Press,36.3,80,15,81.6,180,6.7,0
2023-01-05,Pendlay Row,54.4,120,5,81.6,180,10.8,0
2023-01-05,Pendlay Row,54.4,120,5,81.6,180,10.8,0
2023-01-05,Pendlay Row,54.4,120,4,81.6,180,9.3,0
2023-01-05,Pendlay Row,54.4,120,7,81.6,180,14.5,0
2023-01-05,Pendlay Row,54.4,120,12,81.6,180,27.4,0
2023-01-04,Front Squat,68,150,8,81.6,180,23.7,0
2023-01-04,Front Squat,68,150,8,81.6,180,23.7,0
2023-01-04,Front Squat,68,150,8,81.6,180,23.7,0
2023-01-04,Front Squat,68,150,8,81.6,180,23.7,0
2023-01-04,Front Squat,68,150,8,81.6,180,23.7,0
2023-01-04,Bench Press,74.8,165,8,81.6,180,40.5,0
2023-01-04,Bench Press,74.8,165,5,81.6,180,29.8,0
2023-01-04,Bench Press,74.8,165,5,81.6,180,29.8,0
2023-01-04,Bench Press,74.8,165,5,81.6,180,29.8,0
2023-01-04,Bench Press,74.8,165,5,81.6,180,29.8,0
2023-01-02,Romanian Deadlift,61.2,135,8,81.6,180,10.8,0
2023-01-02,Romanian Deadlift,61.2,135,8,81.6,180,10.8,0
2023-01-02,Romanian Deadlift,61.2,135,8,81.6,180,10.8,0
2023-01-02,Romanian Deadlift,61.2,135,8,81.6,180,10.8,0
2023-01-02,Romanian Deadlift,61.2,135,8,81.6,180,10.8,0
2023-01-02,Seated Dumbbell Shoulder Press,11.3,25,12,81.6,180,6,0
2023-01-02,Seated Dumbbell Shoulder Press,11.3,25,15,81.6,180,7.6,0
2023-01-02,Seated Dumbbell Shoulder Press,11.3,25,15,81.6,180,7.6,0
2023-01-02,Seated Dumbbell Shoulder Press,11.3,25,15,81.6,180,7.6,0
2023-01-02,Seated Dumbbell Shoulder Press,11.3,25,15,81.6,180,7.6,0
2023-01-02,Pull Ups,0,0,1,81.6,180,9,0
2023-01-02,Pull Ups,0,0,5,81.6,180,17.8,0
2023-01-02,Pull Ups,0,0,7,81.6,180,24.7,0
2023-01-02,Pull Ups,0,0,7,81.6,180,24.7,0
2023-01-02,Pull Ups,0,0,5,81.6,180,17.8,0
2022-12-31,Close Grip Bench Press,49.9,110,6,81.6,180,7.2,0
2022-12-31,Close Grip Bench Press,49.9,110,8,81.6,180,10.1,0
